Australian,Airline,InFlights,OutFlights,Year
Melbourne,Malaysia Airlines,60.0,60.0,2010
Melbourne,Philippine Airlines,22.0,22.0,2010
Melbourne,Qantas Airways,208.0,208.0,2010
Melbourne,Qatar Airways,30.0,30.0,2010
Melbourne,Singapore Airlines,90.0,90.0,2010
Melbourne,Thai Airways International,59.0,60.0,2010
Melbourne,United Airlines,30.0,29.0,2010
Melbourne,V Australia,20.0,20.0,2010
Melbourne,Vietnam Airlines,17.0,17.0,2010
Melbourne,Virgin Australia,79.0,79.0,2010
Norfolk Island,Air New Zealand,4.0,4.0,2010
Perth,Air Mauritius,4.0,4.0,2010
Perth,Air New Zealand,30.0,30.0,2010
Perth,AirAsia X,30.0,30.0,2010
Perth,Cathay Pacific Airways,30.0,30.0,2010
Perth,Emirates,60.0,60.0,2010
Perth,Garuda Indonesia,90.0,90.0,2010
Perth,Indonesia AirAsia,60.0,60.0,2010
Perth,Jetstar,69.0,69.0,2010
Perth,Malaysia Airlines,42.0,43.0,2010
Perth,Qantas Airways,81.0,82.0,2010
Perth,Royal Brunei Airlines,21.0,21.0,2010
Perth,Singapore Airlines,73.0,73.0,2010
Perth,South African Airways,25.0,25.0,2010
Perth,Thai Airways International,30.0,30.0,2010
Perth,Tigerair,30.0,30.0,2010
Perth,Virgin Australia,38.0,38.0,2010
Sydney,Aerolineas Argentinas,17.0,17.0,2010
Sydney,Air Austral,9.0,9.0,2010
Sydney,Air Caledonie,22.0,23.0,2010
Sydney,Air Canada,30.0,30.0,2010
Sydney,Air China,30.0,30.0,2010
Sydney,Air New Zealand,232.0,232.0,2010
Sydney,Air Niugini,9.0,7.0,2010
Sydney,Fiji Airways,30.0,30.0,2010
Sydney,Air Vanuatu,26.0,26.0,2010
Sydney,Asiana Airlines,30.0,30.0,2010
Sydney,British Airways,48.0,47.0,2010
Sydney,Cathay Pacific Airways,90.0,90.0,2010
Sydney,China Airlines,20.0,20.0,2010
Sydney,China Eastern Airlines,20.0,20.0,2010
Sydney,China Southern Airlines,30.0,30.0,2010
Sydney,Delta Air Lines,30.0,30.0,2010
Sydney,Emirates,149.0,149.0,2010
Sydney,Etihad Airways,47.0,48.0,2010
Sydney,Garuda Indonesia,30.0,30.0,2010
Sydney,Hawaiian Airlines,13.0,13.0,2010
Sydney,JALWays,30.0,30.0,2010
Sydney,Jetstar,159.0,167.0,2010
Sydney,Korean Air,30.0,30.0,2010
Sydney,LATAM Airlines,25.0,25.0,2010
Sydney,Malaysia Airlines,51.0,51.0,2010
Sydney,Philippine Airlines,21.0,21.0,2010
Sydney,Qantas Airways,616.0,619.0,2010
Sydney,Singapore Airlines,120.0,120.0,2010
Sydney,Thai Airways International,89.0,88.0,2010
Sydney,United Airlines,60.0,60.0,2010
Sydney,V Australia,52.0,52.0,2010
Sydney,Vietnam Airlines,17.0,17.0,2010
Sydney,Virgin Atlantic Airways,29.0,29.0,2010
Sydney,Virgin Australia,112.0,113.0,2010
Sydney,Virgin Samoa,13.0,13.0,2010
Adelaide,Air New Zealand,18.0,18.0,2010
Adelaide,Cathay Pacific Airways,31.0,31.0,2010
Adelaide,Malaysia Airlines,18.0,18.0,2010
Adelaide,Qantas Airways,15.0,13.0,2010
Adelaide,Singapore Airlines,31.0,31.0,2010
Adelaide,Virgin Australia,14.0,14.0,2010
Brisbane,Air Caledonie,9.0,9.0,2010
Brisbane,Air New Zealand,129.0,129.0,2010
Brisbane,Air Niugini,41.0,36.0,2010
Brisbane,Fiji Airways,30.0,30.0,2010
Brisbane,Air Vanuatu,14.0,13.0,2010
Brisbane,Cathay Pacific Airways,44.0,44.0,2010
Brisbane,China Airlines,11.0,11.0,2010
Brisbane,Emirates,93.0,93.0,2010
Brisbane,Etihad Airways,14.0,14.0,2010
Brisbane,Eva Air,12.0,12.0,2010
Brisbane,JALWays,31.0,31.0,2010
Brisbane,Jetstar,62.0,59.0,2010
Brisbane,Korean Air,13.0,13.0,2010
Brisbane,Malaysia Airlines,31.0,31.0,2010
Brisbane,Nauru Airlines,4.0,5.0,2010
Brisbane,Philippine Airlines,9.0,9.0,2010
Brisbane,Qantas Airways,148.0,144.0,2010
Brisbane,Royal Brunei Airlines,26.0,26.0,2010
Brisbane,Singapore Airlines,85.0,85.0,2010
Brisbane,Solomon Airlines,13.0,13.0,2010
Brisbane,Thai Airways International,43.0,43.0,2010
Brisbane,V Australia,22.0,22.0,2010
Brisbane,Virgin Australia,235.0,236.0,2010
Brisbane,Virgin Samoa,1.0,1.0,2010
Cairns,Air New Zealand,13.0,13.0,2010
Cairns,Air Niugini,52.0,53.0,2010
Cairns,Airlines PNG,26.0,26.0,2010
Cairns,Cathay Pacific Airways,26.0,26.0,2010
Cairns,Continental Micronesia,18.0,17.0,2010
Cairns,Jetstar,66.0,72.0,2010
Cairns,Virgin Australia,9.0,9.0,2010
Darwin,Jetstar,101.0,101.0,2010
Gold Coast,Air New Zealand,23.0,23.0,2010
Gold Coast,AirAsia X,31.0,31.0,2010
Gold Coast,Jetstar,79.0,79.0,2010
Gold Coast,Qantas Airways,1.0,0.0,2010
Gold Coast,Virgin Australia,29.0,29.0,2010
Melbourne,Air China,18.0,18.0,2010
Melbourne,Air Mauritius,5.0,4.0,2010
Melbourne,Air New Zealand,114.0,115.0,2010
Melbourne,Fiji Airways,13.0,13.0,2010
Melbourne,AirAsia X,31.0,31.0,2010
Melbourne,Cathay Pacific Airways,93.0,93.0,2010
Melbourne,China Eastern Airlines,14.0,14.0,2010
Melbourne,China Southern Airlines,14.0,14.0,2010
Melbourne,Emirates,124.0,124.0,2010
