Australian,Airline,InFlights,OutFlights,Year
Sydney,Cathay Pacific Airways,121,121,2010
Sydney,China Airlines,26,26,2010
Sydney,China Eastern Airlines,21,21,2010
Sydney,China Southern Airlines,31,31,2010
Sydney,Delta Air Lines,31,31,2010
Sydney,Emirates,155,154,2010
Sydney,Etihad Airways,48,48,2010
Sydney,Garuda Indonesia,30,30,2010
Sydney,Hawaiian Airlines,13,13,2010
Sydney,JALWays,31,31,2010
Sydney,Jetstar,173,177,2010
Sydney,Korean Air,31,31,2010
Sydney,LATAM Airlines,23,21,2010
Sydney,Malaysia Airlines,53,52,2010
Sydney,Philippine Airlines,27,27,2010
Sydney,Qantas Airways,635,636,2010
Sydney,Singapore Airlines,124,124,2010
Sydney,Thai Airways International,93,93,2010
Sydney,United Airlines,62,62,2010
Sydney,V Australia,51,51,2010
Sydney,Vietnam Airlines,17,18,2010
Sydney,Virgin Atlantic Airways,31,31,2010
Sydney,Virgin Australia,123,124,2010
Sydney,Virgin Samoa,13,13,2010
Adelaide,Air New Zealand,21,21,2010
Adelaide,Cathay Pacific Airways,30,30,2010
Adelaide,Malaysia Airlines,17,17,2010
Adelaide,Qantas Airways,13,13,2010
Adelaide,Singapore Airlines,30,30,2010
Adelaide,Virgin Australia,22,22,2010
Brisbane,Air Caledonie,9,9,2010
Brisbane,Air New Zealand,149,149,2010
Brisbane,Air Niugini,39,34,2010
Brisbane,Fiji Airways,30,30,2010
Brisbane,Air Vanuatu,13,13,2010
Brisbane,Cathay Pacific Airways,43,43,2010
Brisbane,China Airlines,13,13,2010
Brisbane,Emirates,90,90,2010
Brisbane,Etihad Airways,13,13,2010
Brisbane,Eva Air,13,13,2010
Brisbane,JALWays,30,30,2010
Brisbane,Jetstar,59,57,2010
Brisbane,Korean Air,13,13,2010
Brisbane,Malaysia Airlines,30,30,2010
Brisbane,Nauru Airlines,4,4,2010
Brisbane,Philippine Airlines,9,9,2010
Brisbane,Qantas Airways,142,142,2010
Brisbane,Royal Brunei Airlines,26,26,2010
Brisbane,Singapore Airlines,81,81,2010
Brisbane,Solomon Airlines,13,13,2010
Brisbane,Thai Airways International,42,42,2010
Brisbane,V Australia,22,22,2010
Brisbane,Virgin Australia,219,220,2010
Brisbane,Virgin Samoa,2,2,2010
Cairns,Air New Zealand,13,13,2010
Cairns,Air Niugini,52,51,2010
Cairns,Airlines PNG,26,26,2010
Cairns,Cathay Pacific Airways,26,26,2010
Cairns,Continental Micronesia,19,20,2010
Cairns,Jetstar,65,70,2010
Cairns,Virgin Australia,9,9,2010
Darwin,Jetstar,99,99,2010
Darwin,Qantas Airways,,1,2010
Gold Coast,Air New Zealand,30,30,2010
Gold Coast,AirAsia X,30,30,2010
Gold Coast,Jetstar,84,84,2010
Gold Coast,Virgin Australia,30,30,2010
Melbourne,Air China,17,17,2010
Melbourne,Air Mauritius,4,4,2010
Melbourne,Air New Zealand,127,126,2010
Melbourne,Fiji Airways,15,15,2010
Melbourne,AirAsia X,30,30,2010
Melbourne,Cathay Pacific Airways,90,90,2010
Melbourne,China Eastern Airlines,12,12,2010
Melbourne,China Southern Airlines,13,13,2010
Melbourne,Emirates,120,120,2010
Melbourne,Etihad Airways,29,29,2010
Melbourne,Garuda Indonesia,30,30,2010
Melbourne,Jetstar,85,90,2010
Melbourne,Korean Air,13,13,2010
Melbourne,Malaysia Airlines,60,60,2010
Melbourne,Philippine Airlines,22,22,2010
Melbourne,Qantas Airways,208,208,2010
Melbourne,Qatar Airways,30,30,2010
Melbourne,Singapore Airlines,90,90,2010
Melbourne,Thai Airways International,59,60,2010
Melbourne,United Airlines,30,29,2010
Melbourne,V Australia,20,20,2010
Melbourne,Vietnam Airlines,17,17,2010
Melbourne,Virgin Australia,79,79,2010
Norfolk Island,Air New Zealand,4,4,2010
Perth,Air Mauritius,4,4,2010
Perth,Air New Zealand,30,30,2010
Perth,AirAsia X,30,30,2010
Perth,Cathay Pacific Airways,30,30,2010
Perth,Emirates,60,60,2010
Perth,Garuda Indonesia,90,90,2010
Perth,Indonesia AirAsia,60,60,2010
Perth,Jetstar,69,69,2010
Perth,Malaysia Airlines,42,43,2010
Perth,Qantas Airways,81,82,2010
Perth,Royal Brunei Airlines,21,21,2010
Perth,Singapore Airlines,73,73,2010
Perth,South African Airways,25,25,2010
Perth,Thai Airways International,30,30,2010
Perth,Tigerair,30,30,2010
Perth,Virgin Australia,38,38,2010
Sydney,Aerolineas Argentinas,17,17,2010
Sydney,Air Austral,9,9,2010
Sydney,Air Caledonie,22,23,2010
Sydney,Air Canada,30,30,2010
Sydney,Air China,30,30,2010
Sydney,Air New Zealand,232,232,2010
Sydney,Air Niugini,9,7,2010
Sydney,Fiji Airways,30,30,2010
Sydney,Air Vanuatu,26,26,2010
Sydney,Asiana Airlines,30,30,2010
Sydney,British Airways,48,47,2010
Sydney,Cathay Pacific Airways,90,90,2010
Sydney,China Airlines,20,20,2010
Sydney,China Eastern Airlines,20,20,2010
Sydney,China Southern Airlines,30,30,2010
Sydney,Delta Air Lines,30,30,2010
Sydney,Emirates,149,149,2010
Sydney,Etihad Airways,47,48,2010
Sydney,Garuda Indonesia,30,30,2010
Sydney,Hawaiian Airlines,13,13,2010
Sydney,JALWays,30,30,2010
Sydney,Jetstar,159,167,2010
Sydney,Korean Air,30,30,2010
Sydney,LATAM Airlines,25,25,2010
Sydney,Malaysia Airlines,51,51,2010
Sydney,Philippine Airlines,21,21,2010
Sydney,Qantas Airways,616,619,2010
Sydney,Singapore Airlines,120,120,2010
Sydney,Thai Airways International,89,88,2010
Sydney,United Airlines,60,60,2010
Sydney,V Australia,52,52,2010
Sydney,Vietnam Airlines,17,17,2010
Sydney,Virgin Atlantic Airways,29,29,2010
Sydney,Virgin Australia,112,113,2010
Sydney,Virgin Samoa,13,13,2010
Adelaide,Air New Zealand,18,18,2010
Adelaide,Cathay Pacific Airways,31,31,2010
Adelaide,Malaysia Airlines,18,18,2010
Adelaide,Qantas Airways,15,13,2010
Adelaide,Singapore Airlines,31,31,2010
Adelaide,Virgin Australia,14,14,2010
Brisbane,Air Caledonie,9,9,2010
Brisbane,Air New Zealand,129,129,2010
Brisbane,Air Niugini,41,36,2010
Brisbane,Fiji Airways,30,30,2010
Brisbane,Air Vanuatu,14,13,2010
Brisbane,Cathay Pacific Airways,44,44,2010
Brisbane,China Airlines,11,11,2010
Brisbane,Emirates,93,93,2010
Brisbane,Etihad Airways,14,14,2010
Brisbane,Eva Air,12,12,2010
Brisbane,JALWays,31,31,2010
Brisbane,Jetstar,62,59,2010
Brisbane,Korean Air,13,13,2010
Brisbane,Malaysia Airlines,31,31,2010
Brisbane,Nauru Airlines,4,5,2010
Brisbane,Philippine Airlines,9,9,2010
Brisbane,Qantas Airways,148,144,2010
Brisbane,Royal Brunei Airlines,26,26,2010
Brisbane,Singapore Airlines,85,85,2010
Brisbane,Solomon Airlines,13,13,2010
Brisbane,Thai Airways International,43,43,2010
Brisbane,V Australia,22,22,2010
Brisbane,Virgin Australia,235,236,2010
Brisbane,Virgin Samoa,1,1,2010
Cairns,Air New Zealand,13,13,2010
Cairns,Air Niugini,52,53,2010
Cairns,Airlines PNG,26,26,2010
Cairns,Cathay Pacific Airways,26,26,2010
Cairns,Continental Micronesia,18,17,2010
