Australian,Airline,InFlights,OutFlights,Year,Month_Number
Brisbane,Nauru Airlines,4,4,2010,1
Brisbane,Philippine Airlines,9,9,2010,2
Brisbane,Qantas Airways,142,142,2010,3
Brisbane,Royal Brunei Airlines,26,26,2010,4
Brisbane,Singapore Airlines,81,81,2010,5
Brisbane,Solomon Airlines,13,13,2010,6
Brisbane,Thai Airways International,42,42,2010,7
Brisbane,V Australia,22,22,2010,8
Brisbane,Virgin Australia,219,220,2010,9
Brisbane,Virgin Samoa,2,2,2010,10
Cairns,Air New Zealand,13,13,2010,11
Cairns,Air Niugini,52,51,2010,12
Cairns,Airlines PNG,26,26,2010,1
Cairns,Cathay Pacific Airways,26,26,2010,2
Cairns,Continental Micronesia,19,20,2010,3
Cairns,Jetstar,65,70,2010,4
Cairns,Virgin Australia,9,9,2010,5
Darwin,Jetstar,99,99,2010,6
Darwin,Qantas Airways,0,1,2010,7
Gold Coast,Air New Zealand,30,30,2010,8
Gold Coast,AirAsia X,30,30,2010,9
Gold Coast,Jetstar,84,84,2010,10
Gold Coast,Virgin Australia,30,30,2010,11
Melbourne,Air China,17,17,2010,12
Melbourne,Air Mauritius,4,4,2010,1
Melbourne,Air New Zealand,127,126,2010,2
Melbourne,Fiji Airways,15,15,2010,3
Melbourne,AirAsia X,30,30,2010,4
Melbourne,Cathay Pacific Airways,90,90,2010,5
Melbourne,China Eastern Airlines,12,12,2010,6
Melbourne,China Southern Airlines,13,13,2010,7
Melbourne,Emirates,120,120,2010,8
Melbourne,Etihad Airways,29,29,2010,9
Melbourne,Garuda Indonesia,30,30,2010,10
Melbourne,Jetstar,85,90,2010,11
Melbourne,Korean Air,13,13,2010,12
Melbourne,Malaysia Airlines,60,60,2010,1
Melbourne,Philippine Airlines,22,22,2010,2
Melbourne,Qantas Airways,208,208,2010,3
Melbourne,Qatar Airways,30,30,2010,4
Melbourne,Singapore Airlines,90,90,2010,5
Melbourne,Thai Airways International,59,60,2010,6
Melbourne,United Airlines,30,29,2010,7
Melbourne,V Australia,20,20,2010,8
Melbourne,Vietnam Airlines,17,17,2010,9
Melbourne,Virgin Australia,79,79,2010,10
Norfolk Island,Air New Zealand,4,4,2010,11
Perth,Air Mauritius,4,4,2010,12
Perth,Air New Zealand,30,30,2010,1
Perth,AirAsia X,30,30,2010,2
Perth,Cathay Pacific Airways,30,30,2010,3
Perth,Emirates,60,60,2010,4
Perth,Garuda Indonesia,90,90,2010,5
Perth,Indonesia AirAsia,60,60,2010,6
Perth,Jetstar,69,69,2010,7
Perth,Malaysia Airlines,42,43,2010,8
Perth,Qantas Airways,81,82,2010,9
Perth,Royal Brunei Airlines,21,21,2010,10
Perth,Singapore Airlines,73,73,2010,11
Perth,South African Airways,25,25,2010,12
Perth,Thai Airways International,30,30,2010,1
Perth,Tigerair,30,30,2010,2
Perth,Virgin Australia,38,38,2010,3
Sydney,Aerolineas Argentinas,17,17,2010,4
Sydney,Air Austral,9,9,2010,5
Sydney,Air Caledonie,22,23,2010,6
Sydney,Air Canada,30,30,2010,7
Sydney,Air China,30,30,2010,8
Sydney,Air New Zealand,232,232,2010,9
Sydney,Air Niugini,9,7,2010,10
Sydney,Fiji Airways,30,30,2010,11
Sydney,Air Vanuatu,26,26,2010,12
Sydney,Asiana Airlines,30,30,2010,1
Sydney,British Airways,48,47,2010,2
Sydney,Cathay Pacific Airways,90,90,2010,3
Sydney,China Airlines,20,20,2010,4
Sydney,China Eastern Airlines,20,20,2010,5
Sydney,China Southern Airlines,30,30,2010,6
Sydney,Delta Air Lines,30,30,2010,7
Sydney,Emirates,149,149,2010,8
Sydney,Etihad Airways,47,48,2010,9
Sydney,Garuda Indonesia,30,30,2010,10
Sydney,Hawaiian Airlines,13,13,2010,11
Sydney,JALWays,30,30,2010,12
Sydney,Jetstar,159,167,2010,1
Sydney,Korean Air,30,30,2010,2
Sydney,LATAM Airlines,25,25,2010,3
Sydney,Malaysia Airlines,51,51,2010,4
Sydney,Philippine Airlines,21,21,2010,5
Sydney,Qantas Airways,616,619,2010,6
Sydney,Singapore Airlines,120,120,2010,7
Sydney,Thai Airways International,89,88,2010,8
Sydney,United Airlines,60,60,2010,9
Sydney,V Australia,52,52,2010,10
Sydney,Vietnam Airlines,17,17,2010,11
Sydney,Virgin Atlantic Airways,29,29,2010,12
Sydney,Virgin Australia,112,113,2010,1
Sydney,Virgin Samoa,13,13,2010,2
Adelaide,Air New Zealand,18,18,2010,3
Adelaide,Cathay Pacific Airways,31,31,2010,4
Adelaide,Malaysia Airlines,18,18,2010,5
Adelaide,Qantas Airways,15,13,2010,6
Adelaide,Singapore Airlines,31,31,2010,7
Adelaide,Virgin Australia,14,14,2010,8
Brisbane,Air Caledonie,9,9,2010,9
Brisbane,Air New Zealand,129,129,2010,10
Brisbane,Air Niugini,41,36,2010,11
Brisbane,Fiji Airways,30,30,2010,12
Brisbane,Air Vanuatu,14,13,2010,1
Brisbane,Cathay Pacific Airways,44,44,2010,2
Brisbane,China Airlines,11,11,2010,3
Brisbane,Emirates,93,93,2010,4
